,organizer,count,sum,max,min,mean
5,Департамент житлово-комунального господарства Чернівецької міської ради | 25082708,823,613583054.45,80867917.0,4500.0,745544.42
1,УПРАВЛІННЯ ОСВІТИ ЧЕРНІВЕЦЬКОЇ МІСЬКОЇ РАДИ | 02147345,885,456760099.07,53511955.0,278.92,516113.11
0,Виконавчий комітет Чернівецької міської ради | 04062216,328,364595185.49,34288683.26,1.0,1111570.69
3,Департамент містобудівного комплексу та земельних відносин Чернівецької міської ради | 23245721,225,222900030.07,23756659.0,3040.0,990666.8
4,Управління культури Чернівецької міської ради | 02231560,105,15046707.71,1888630.0,3186.0,143301.98
7,Управління по фізичній культурі та спорту Чернівецької міської ради | 02932682,58,13224865.13,6030679.52,5040.0,228014.92
8,Департамент праці та соціального захисту населення Чернівецької міської ради | 26075395,16,2652706.52,548365.0,8900.0,165794.16
2,Департамент економіки Чернівецької міської ради | 25082698,35,1280003.87,198000.0,2200.0,36571.54
10,ВІДДІЛ У СПРАВАХ СІМ'Ї ТА МОЛОДІ ЧЕРНІВЕЦЬКОЇ МІСЬКОЇ РАДИ | 26184463,19,1272247.61,147000.0,29400.0,66960.4
6,Фінансове управління Чернівецької міської ради | 02317445,19,330790.0,55800.0,4900.0,17410.0
9,Управління охорони здоров'я Чернівецької міської ради | 02013277,4,162733.55,59553.31,13000.0,40683.39
11,ДЕПАРТАМЕНТ РОЗВИТКУ ЧЕРНІВЕЦЬКОЇ МІСЬКОЇ РАДИ | 42843402,2,88742.5,53760.0,34982.5,44371.25
